t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,4.056000000000000227e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,4.056000000000000227e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,4.071999999999999886e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,4.071999999999999886e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,4.088000000000000256e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,4.088000000000000256e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,4.088000000000000256e+01,3.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,4.088000000000000256e+01,3.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,4.093999999999999773e+01,3.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,4.100999999999999801e+01,3.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,4.120000000000000284e+01,7.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,4.120000000000000284e+01,7.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,4.120000000000000284e+01,7.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,4.120000000000000284e+01,7.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,4.139000000000000057e+01,7.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,4.142999999999999972e+01,7.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,4.152000000000000313e+01,7.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,4.152000000000000313e+01,7.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,4.152000000000000313e+01,7.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,4.152000000000000313e+01,7.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,4.152000000000000313e+01,7.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,4.156000000000000227e+01,7.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,4.185000000000000142e+01,7.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,4.181000000000000227e+01,7.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,4.185000000000000142e+01,7.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,4.185000000000000142e+01,7.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,4.185000000000000142e+01,7.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,4.207000000000000028e+01,7.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,4.200999999999999801e+01,7.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,4.217000000000000171e+01,7.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,4.217000000000000171e+01,7.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,4.217000000000000171e+01,7.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,4.222999999999999687e+01,7.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,4.242999999999999972e+01,7.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,4.249000000000000199e+01,7.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,4.249000000000000199e+01,7.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,4.249000000000000199e+01,7.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,4.252000000000000313e+01,7.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,4.275000000000000000e+01,7.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,4.281000000000000227e+01,7.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,4.281000000000000227e+01,7.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,4.281000000000000227e+01,7.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,4.290999999999999659e+01,7.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,4.307000000000000028e+01,7.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,4.313000000000000256e+01,7.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,4.313000000000000256e+01,7.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,4.313000000000000256e+01,7.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,4.332999999999999829e+01,7.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,4.346000000000000085e+01,7.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,4.346000000000000085e+01,7.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,4.361999999999999744e+01,7.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,4.378000000000000114e+01,7.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,4.378000000000000114e+01,7.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,4.378000000000000114e+01,7.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,4.390999999999999659e+01,3.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,4.410000000000000142e+01,3.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,4.410000000000000142e+01,3.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,4.413000000000000256e+01,3.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,4.432999999999999829e+01,3.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,4.442000000000000171e+01,3.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,4.442000000000000171e+01,3.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,4.464999999999999858e+01,3.000000000000000000e+01
