t,MV,PV,DV
0.000000000000000000e+00,1.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+01,3.504999999999999716e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,3.517000000000000171e+01,5.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,3.536999999999999744e+01,5.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,3.539999999999999858e+01,5.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,3.539999999999999858e+01,5.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,3.539999999999999858e+01,5.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,3.546000000000000085e+01,5.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,3.563000000000000256e+01,5.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,3.571999999999999886e+01,5.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,3.571999999999999886e+01,5.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,3.600999999999999801e+01,5.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,3.603999999999999915e+01,5.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,3.603999999999999915e+01,5.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,3.636999999999999744e+01,5.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,3.636999999999999744e+01,5.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,3.656000000000000227e+01,5.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,3.668999999999999773e+01,5.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,3.678999999999999915e+01,5.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,3.700999999999999801e+01,5.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,3.700999999999999801e+01,5.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,3.732999999999999829e+01,5.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,3.732999999999999829e+01,5.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,3.761999999999999744e+01,5.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,3.765999999999999659e+01,5.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,3.765999999999999659e+01,5.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,3.797999999999999687e+01,5.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,3.797999999999999687e+01,5.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,3.810999999999999943e+01,5.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,3.829999999999999716e+01,5.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,3.829999999999999716e+01,5.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,3.853000000000000114e+01,5.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,3.861999999999999744e+01,5.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,3.871999999999999886e+01,5.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,3.882000000000000028e+01,5.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,3.895000000000000284e+01,5.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,3.897999999999999687e+01,5.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,3.924000000000000199e+01,5.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,3.927000000000000313e+01,5.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,3.929999999999999716e+01,5.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,3.956000000000000227e+01,5.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,3.959000000000000341e+01,5.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,3.968999999999999773e+01,5.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,3.985000000000000142e+01,5.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,3.990999999999999659e+01,5.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,3.990999999999999659e+01,5.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,4.000999999999999801e+01,5.000000000000000000e+01
