t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,3.434000000000000341e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,3.434000000000000341e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,3.427000000000000313e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,3.421000000000000085e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,3.414000000000000057e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,3.410999999999999943e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,3.410999999999999943e+01,3.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,3.424000000000000199e+01,3.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,3.429999999999999716e+01,3.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,3.410999999999999943e+01,3.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,3.410999999999999943e+01,7.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,3.414000000000000057e+01,7.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,3.429999999999999716e+01,7.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,3.429999999999999716e+01,7.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,3.436999999999999744e+01,7.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,3.442999999999999972e+01,7.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,3.442999999999999972e+01,7.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,3.446999999999999886e+01,7.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,3.442999999999999972e+01,7.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,3.442999999999999972e+01,7.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,3.442999999999999972e+01,7.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,3.446999999999999886e+01,7.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,3.446999999999999886e+01,7.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,3.453000000000000114e+01,7.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,3.453000000000000114e+01,7.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,3.453000000000000114e+01,7.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,3.468999999999999773e+01,7.000000000000000000e+01
