t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,2.457243023002828295e+02,-1.957243023002828295e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.732000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,2.458521727091121249e+02,-1.958521727091121249e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.732000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,2.458521727091121249e+02,-1.958521727091121249e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.735000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,2.457243023002828295e+02,-1.957243023002828295e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.735000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.457243023002828295e+02,-1.957243023002828295e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.735000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,2.457243023002828295e+02,-1.957243023002828295e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.735000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,2.457243023002828295e+02,-1.957243023002828295e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.748000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,2.451701971953559109e+02,-1.951701971953559109e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.764000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,2.444882216815997253e+02,-1.944882216815997253e+02,0.000000000000000000e+00,7.500000000000000000e+01,1.767999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,2.443177278031606647e+02,-1.943177278031606647e+02,-0.000000000000000000e+00,7.500000000000000000e+01,1.792999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
